InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
CQMYCPZZIPXILQ	personalcareproduct			personal care products_fragrance
CQOQDQWUFQDJMK	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
CQOVPNPJLQNMDC	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
CQRKVVAGMJJJSR	drug			drug or medication use
CQSLTKIXAJTQGA	naturalproduct			
CQUSHZSCDGSFBF	naturalproduct			
CQUSWWXXDXWZBS	bacterial|bacterial_produced			
CRAONLIHLOSKGE	naturalproduct			
CRDAMVZIKSXKFV	food|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|feces	|food consumption
CRDXHRLAQBVBTF	naturalproduct			
CREVIXFSUWYGRJ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
CRFNGMNYKDXRTN	|human	9606|Homo sapiens		
CROUPKILZUPLQA	naturalproduct		blood|urine	
CRPUJAZIXJMDBK	|food|human|naturalproduct	9606|Homo sapiens		food consumption
CRQZWNMPCIFJKX	naturalproduct|bacterial|bacterial_produced			
CRRKVZVYZQXICQ	drug			drug or medication use
CRSFLLTWRCYNNX	naturalproduct			
CRULJZWXPCYLAC	naturalproduct|bacterial|bacterial_produced			
CRVXJSNSTGEXDX	naturalproduct			
CRZCBRQLDFFZHO	food			
CSATWRZOLKGPRW	naturalproduct			
CSCPPACGZOOCGX	|food|human|naturalproduct	9606|Homo sapiens		food consumption
CSDGLNFYKPCMSZ	|food|naturalproduct			food consumption
CSDPVAKVEWETFG	|food|human	9606|Homo sapiens		food consumption
CSKKDSFETGLMSB	|food|naturalproduct			food consumption
CSKRCVQJKJFWGN	naturalproduct			
CSOMAHTTWTVBFL	biocide_antimicrobial|drug|bacterial|bacterial_produced			
CSRJYVIKHJFLSA	naturalproduct|fungal|fungal_produced			
CSVNMGCNZRUZHN	naturalproduct			
CSVOJBHLRRLOJX	naturalproduct			
CSVWQRLFFUNUND	naturalproduct			
CSWBSLXBXRFNST	biocide_insecticide|environmental			
CSYVMZMEBKUDRQ	naturalproduct			
CTALFFOVOLJORS	bacterial|bacterial_modified		blood|urine	
CTBBEXWJRAPJIZ	naturalproduct|bacterial|bacterial_produced			
CTBHKOAPXBDFPX	naturalproduct			
CTJZWFCPUDPLME	food|plant|naturalproduct_plant			
CTNBJOXYBJWTBJ	bacterial|bacterial_produced			
CTNFTPUIYFUXBE	|food|naturalproduct			food consumption
CTRLABGOLIVAIY	drug|human	9606|Homo sapiens		drug or medication use
CTSPAMFJBXKSOY	naturalproduct			
CTZNINKRTKCWGU	naturalproduct			
CUANCTHYEDWUMU	naturalproduct			
CUCNRHYDISBEQH	naturalproduct			
CUCUKLJLRRAKFN	plant|naturalproduct_plant|naturalproduct			
CUFBHSCIAQRRRO	naturalproduct|fungal|fungal_produced			
CUGDOWNTXKLQMD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
CUIHSIWYWATEQL	drug			drug or medication use
CUJBKWCXRLZJMY	naturalproduct|bacterial|bacterial_produced			
CULUWZNBISUWAS	drug			drug or medication use
CUOJDWBMJMRDHN	naturalproduct_bacterial|bacterial|bacterial_produced			
CUOKHACJLGPRHD	|food|human|naturalproduct	9606|Homo sapiens		food consumption
CUOSYYRDANYHTL	drug			constipation
CUOZRGBQTOSWAY	plant|naturalproduct_plant|naturalproduct			
CUVKAUWOMPJEMI	naturalproduct			
CUYKZBWMGHLTKQ	fungal|fungal_produced			
CUZZLIJKCADKLX	naturalproduct			
CVAVMIODJQHEEH	synthetic			
CVEQISBYHSILGF	plant|naturalproduct_plant			
CVHZOJJKTDOEJC	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
CVISOHZWXIVDFN	naturalproduct			
CVIVANCKIBYAOP	naturalproduct			
CVNYHSDFZXHMMJ	bacterial|bacterial_modified|naturalproduct		blood|urine	
CVONGHIZZPMUOI	food			
CVPVGRDVSAJUQS	naturalproduct			
CVPYYBCSHSCXJQ	naturalproduct			
CVSVTCORWBXHQV	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
CVUANYCQTOGILD	food|plant|naturalproduct_plant		feces|saliva	
CVUGQYANPDQHFV	naturalproduct			
CVULDJMCSSACEO	fungal|fungal_produced|plant|naturalproduct_plant|naturalproduct			
CVWJKBJRSZXDIW	naturalproduct|fungal|fungal_produced			
CWAJEURPJYKGRL	naturalproduct			
CWBZAESOUBENAP	food|food_additive|plant|naturalproduct_plant			food consumption_flavouring
CWDBCXIAEGDANA	naturalproduct			
CWERGRDVMFNCDR	drug|naturalproduct			drug or medication use
CWJWQZBYLBCRQL	naturalproduct			
CWKGVEOWMUZLOW	naturalproduct			
CWLQUGTUXBXTLF	|human|naturalproduct	9606|Homo sapiens		
CWMPPVPFLSZGCY	|food|human|naturalproduct|bacterial|bacterial_produced	9606|Homo sapiens:1396|Bacillus cereus:339|Xanthomonas campestris		food consumption
CWOFGGNDZOPNFG	plant|naturalproduct_plant|naturalproduct			
CWOJBEDMJKZKAB	naturalproduct			
CWOYLIJQLSNRRN	|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	9606|Homo sapiens		
CWVRJTMFETXNAD	food|plant_angiospermae|naturalproduct_plant|plant|drug|human|naturalproduct	:9606|Homo sapiens	blood|feces|saliva|urine	food consumption_coffee|food consumption_tea|food consumption|drug or medication use|food consumption_herbs
CWVULMRJHWMZLY	drug|drug_metabolite			pain
CWXYHOHYCJXYFQ	|food|human	9606|Homo sapiens		food consumption
CWZFOUVOKBTZQE	naturalproduct|bacterial|bacterial_produced			
CWZLMWSCLBFCBY	naturalproduct_plant|naturalproduct			
CXBMCYHAMVGWJQ	biocide_insecticide			
CXIHBIKIPKUWBP	naturalproduct			
CXMXRPHRNRROMY	drug|food|human|food_additive|animal|naturalproduct	9606|Homo sapiens	|feces	food consumption|drug or medication use
CXNKSWQNEYQUGX	naturalproduct_bacterial|bacterial|bacterial_produced			
CXNPLSGKWMLZPZ	naturalproduct|bacterial|bacterial_produced			
CXOFVDLJLONNDW	drug|synthetic|human	:9606|Homo sapiens	blood|urine|feces	|drug or medication use
CXOWUUUBWJFSRU	naturalproduct			
CXOXHMZGEKVPMT	drug|human	9606|Homo sapiens		drug or medication use
CXQWRCVTCMQVQX	bacterial|bacterial_modified|naturalproduct_plant|drug|food|naturalproduct	:9606|Homo sapiens	blood|urine	|food consumption|drug or medication use
CXTATJFJDMJMIY	|food|human	9606|Homo sapiens		food consumption
CXVGEDCSTKKODG	environmental|personalcareproduct|drug			outdoor activity|drug or medication use
CXVPYCSNJZJTRF	fungal|fungal_produced			
CYAWKJKAMCXLET	fungal|fungal_produced			
CYDRXTMLKJDRQH	biocide_antimicrobial|environmental|synthetic|drug|biocide			biocide exposure|household product exposure|products containing surfactants|synthetic chemical exposure|drug or medication use
CYESCLHCWJKRKM	naturalproduct			
CYFLXLSBHQBMFT	drug|human	9606|Homo sapiens		drug or medication use
CYGIJEJDYJOUAN	food|naturalproduct			
CYHGEJACRPDZDP	naturalproduct|fungal|fungal_produced			
CYHOMWAPJJPNMW	drug|naturalproduct			drug or medication use
CYLYVXPHAQLXFG	drug|drug_metabolite			
CYNJYGDSSURTLH	naturalproduct|fungal|fungal_produced			
CYNVLFGDEQQUPE	naturalproduct|fungal|fungal_produced			
CYOSZNPFDIXSCJ	naturalproduct			
CYQFCXCEBYINGO	drug|naturalproduct		blood|urine	
CYSRKZFPSNZSCS	|food|human	9606|Homo sapiens		food consumption
CYVVJSKZRBZHAV	synthetic			
CYVVUYORRQQAQE	plant|naturalproduct_plant			
CYXCYFYWIZXENQ	naturalproduct			
CYZZFSCFKCNCLO	naturalproduct			
CZCIKBSVHDNIDH	naturalproduct|naturalproduct_fungal|plant|plant_angiospermae|naturalproduct_plant			
CZCOHVXNUPVUBC	|food|human	9606|Homo sapiens		food consumption
CZDNLUMNELLDDD	naturalproduct			
CZEMYYICWZPENF	|food|naturalproduct			food consumption
CZFFBEXEKNGXKS	drug|synthetic			|drug or medication use|viral infectious disease
CZMRCDWAGMRECN	food|plant_angiospermae|naturalproduct_plant|plant|drug|human|naturalproduct	:9606|Homo sapiens	blood|feces|saliva|sweat|urine	|food consumption|drug or medication use
CZOSTDZGCCEZTJ	|food|human	9606|Homo sapiens		food consumption
CZOXIGOPZRIBJM	naturalproduct			
CZPWVGJYEJSRLH	|food|human	9606|Homo sapiens		food consumption
CZSDLEOHLKBTSI	plant|naturalproduct_plant			
CZWCKYRVOZZJNM	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
CZYGRTLVTPFBHU	food			
CZYPGTRKJFYXLT	plant|plant_angiospermae|naturalproduct_plant|naturalproduct			
CZZVTNRWOQFMEU	naturalproduct			
CZZZABOKJQXEBO	naturalproduct			
DAEAPNUQQAICNR	|food|human	9606|Homo sapiens		food consumption
DAELTTGCCPRYTP	plant|naturalproduct_plant|naturalproduct			
DAFOCGYVTAOKAJ	drug			
DAGFXZAYWUIGPC	naturalproduct			
DAINMNHDGRVBQF	naturalproduct			
DAKYVYUAVGJDRK	naturalproduct			
DANUORFCFTYTSZ	naturalproduct|bacterial|bacterial_produced			
DANYIYRPLHHOCZ	bacterial|bacterial_modified|food|human|naturalproduct	:9606|Homo sapiens	blood|urine	|food consumption
DATAGRPVKZEWHA	drug|human|food|naturalproduct	9606|Homo sapiens		drug or medication use|food consumption
DAUAQNGYDSHRET	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DAWYIZBOUQIVNX	|human	9606|Homo sapiens		
DAXYUDFNWXHGBE	naturalproduct			
DAYLJWODMCOQEW	|food|human	9606|Homo sapiens		food consumption
DBABZHXKTCFAPX	drug|human	9606|Homo sapiens		drug or medication use
DBAKFASWICGISY	drug			drug or medication use
DBCVUIBEXPYXAJ	naturalproduct			
DBEPLOCGEIEOCV	drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
DBEYVIGIPJSTOR	naturalproduct|fungal|fungal_produced			
DBGIVFWFUFKIQN	drug			drug or medication use
DBHKHNGBVGWQJE	naturalproduct			
DBJPZCJQDRPOME	naturalproduct|bacterial|bacterial_produced			
DBKIEMOKQWYZOA	naturalproduct			
DBMJZOMNXBSRED	food|naturalproduct		feces	
DBPWSSGDRRHUNT	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DBRXOUCRJQVYJQ	food|naturalproduct			
DBUCFOVFALNEOO	naturalproduct			
DBUOUVZMYWYRRI	naturalproduct			
DBVJJBKOTRCVKF	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
DBVVQDGIJAUEAZ	naturalproduct			
DBXBTMSZEOQQDU	|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption
DCASRSISIKYPDD	drug|drug_metabolite			
DCBSHORRWZKAKO	naturalproduct|dissolvedorganicmatter_water_saline|naturalproduct_marine			
DCCSDBARQIPTGU	drug|water_waste|dissolvedorganicmatter_water_saline		feces|blood|urine	drug or medication use
DCERMUGUBKSKBM	naturalproduct			
DCICDMMXFIELDF	|food|human	9606|Homo sapiens		food consumption
DCIHLTIBNFDPMW	|food|human	9606|Homo sapiens		food consumption
DCJBINATHQHPKO	human|plant|naturalproduct_plant			
DCKYPAZZUYXYTC	naturalproduct			
DCNLLBVWQNTIMR	naturalproduct			
DCOPUUMXTXDBNB	drug|human	:9606|Homo sapiens	blood|urine	pain|drug or medication use
DCSLTSSPIJWEJN	naturalproduct			
DCSUBABJRXZOMT	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
DCTLJGWMHPGCOS	naturalproduct			
DCTLYFZHFGENCW	|food|human	9606|Homo sapiens		food consumption
DCWLOCNJVDYFMA	naturalproduct			
DCXYFEDJOCDNAF	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DCYOADKBABEMIQ	food|human|naturalproduct	:9606|Homo sapiens	blood|urine	|food consumption
DDBREPKUVSBGFI	drug|human	9606|Homo sapiens		drug or medication use
DDELFAUOHDSZJL	naturalproduct			
DDHXERAMOVJOAJ	naturalproduct			
DDKGKOOLFLYZDL	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DDLIGBOFAVUZHB	drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
DDMAUIOCNQXFHL	naturalproduct			
DDNCQMVWWZOMLN	drug			drug or medication use
DDNPCXHBFYJXBJ	|food|naturalproduct			food consumption
DDRDDFBLSIAXPP	naturalproduct			
DDRJAANPRJIHGJ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DDUHZTYCFQRHIY	drug|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		drug or medication use
DDULCZLFAKVKJB	naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced			
DECIPOUIJURFOJ	food|food_additive|human	:9606|Homo sapiens	blood|urine	|food consumption
DEFIJGJJJKEYGS	naturalproduct			
DEFJQIDDEAULHB	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DEJPAJWPCTUPPL	naturalproduct			
DEKKUTJHZZBCAC	fungal|fungal_produced			
DEMKZLAVQYISIA	|human|plant|naturalproduct_plant|naturalproduct	9606|Homo sapiens		
DEQLZTQITSWABQ	naturalproduct			
DERZBLKQOCDDDZ	drug			drug or medication use
DEUCVOIWOGPZGS	naturalproduct|fungal|fungal_produced			
DFBIRQPKNDILPW	drug|naturalproduct			drug or medication use
DFGOIVFBKDWNBI	naturalproduct			
DFGYGTWTXGTQIC	naturalproduct|fungal|fungal_produced			
DFHDGRZCTHONRC	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial|naturalproduct|bacterial|bacterial_produced			
DFJVUWAHTQPQCV	drug|drug_metabolite|synthetic		urine|feces	|drug or medication use
DFMAXQKDIGCMTL	food|human|naturalproduct	:9606|Homo sapiens	feces|saliva|urine	|food consumption
DFNFONZYWQXTIJ	naturalproduct			
DFPAKSUCGFBDDF	food|vitamin|drug|human|naturalproduct	:9606|Homo sapiens	blood|feces|milk|urine	|food consumption|drug or medication use
DFPMSGMNTNDNHN	food|human|plant|naturalproduct_plant|plant_angiospermae|naturalproduct	:9606|Homo sapiens	urine	food consumption_citrus|food consumption
DFQMKYUSAALDDY	naturalproduct|bacterial|bacterial_produced			
DFQUSLQYURJBIT	naturalproduct|fungal|fungal_produced			
DFSIAHJRDUTPMX	naturalproduct			
DFSUHDZXXWBENC	naturalproduct			
DFURNQJNFBMYHM	naturalproduct			
DFVYLDHDFLHIAA	naturalproduct|fungal|fungal_produced			
DFWFIQKMSFGDCQ	|food|human	9606|Homo sapiens		food consumption
DFZMWWCBMPCKFD	naturalproduct			
DGABKXLVXPYZII	bacterial|bacterial_modified|food|human|drug|naturalproduct	:9606|Homo sapiens	blood|feces|urine	|drug or medication use|food consumption
DGAIEPBNLOQYER	drug|human	9606|Homo sapiens		drug or medication use
DGBIGWXXNGSACT	drug		blood|urine	
DGDWCRWJRNMRKX	naturalproduct			
DGEZNRSVGBDHLK	drug			drug or medication use
DGGOLFCPSUVVHX	food|plant|naturalproduct_plant|naturalproduct			
DGHHQBMTXTWTJV	|food			food consumption
DGIMMEWTLSCNGO	naturalproduct			
DGKDFNDHPXVXHW	naturalproduct			
DGMKFQYCZXERLX	drug			drug or medication use
DGMPVYSXXIOGJY	naturalproduct			
DGQWMSVZRIPJMR	naturalproduct			
DGWXOLHKVGDQLN	drug			drug or medication use
DGXLEDCXMIJNPJ	naturalproduct			
DHCDFWKWKRSZHF	|food			food consumption
DHCLVCXQIBBOPH	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DHHWDJUUTBWANN	naturalproduct			
DHMQDGOQFOQNFH	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DHNRXBZYEKSXIM	drug			drug or medication use
DHNUPRDARUHAJK	naturalproduct			
DHRNMNHPSWBJEN	|human|human_modified	9606|Homo sapiens	blood|urine	
DHSUYTOATWAVLW	drug|human	9606|Homo sapiens		drug or medication use
DHVXMTMJTVCPBB	naturalproduct			
DHZBEENLJMYSHQ	naturalproduct			
DIAOGWYBBJCPAD	naturalproduct			
DIAQQISRBBDJIM	naturalproduct			
DIKMWTRJIZQJMY	fungal|fungal_produced|plant|naturalproduct_plant|naturalproduct			
DILDHNKDVHLEQB	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DIRGAGXDBYDWQB	naturalproduct			
DIVDFFZHCJEHGG	|food|human	9606|Homo sapiens		food consumption
DIVLBIVDYADZPL	drug|drug_metabolite		blood|urine	pain
DIVQKHQLANKJQO	|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	9606|Homo sapiens		food consumption
DIWRORZWFLOCLC	drug|human	:9606|Homo sapiens	blood|urine	mental depression|drug or medication use
DJAWTLHBPPQMPV	naturalproduct			
DJBNUMBKLMJRSA	drug|human	9606|Homo sapiens		drug or medication use
DJBWDHVUJCXYBH	naturalproduct			
DJDISCKFJXDADJ	naturalproduct			
DJDJISZVDIETFI	naturalproduct|fungal|fungal_produced			
DJJCXFVJDGTHFX	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DJOJDHGQRNZXQQ	food|drug|human|naturalproduct	:9606|Homo sapiens	saliva	|food consumption|drug or medication use
DJQOOSBJCLSSEY	drug			
DJSISFGPUUYILV	food		blood|urine	
DJTOLSNIKJIDFF	food|animal	:73337|Ceratotherium simum simum	blood|urine|feces	
DJVOKHFQPGWUPK	|human	9606|Homo sapiens		
DJWYOLJPSHDSAL	food|vitamin|drug|human|naturalproduct	:9606|Homo sapiens	feces|saliva	food consumption_vitamins|food consumption|drug or medication use
DJXURFUTIYZESV	food_source_plant		blood|urine	
DJYDCIUMNXZSBH	naturalproduct|fungal|fungal_produced			
DKDGWAKCXBFTMM	naturalproduct			
DKEANOQWICTXTP	|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	9606|Homo sapiens		
DKEXFJVMVGETOO	human|food	:9606|Homo sapiens	feces	|food consumption
DKHGMERMDICWDU	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
DKKJNZYHGRUXBS	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DKMFBWQBDIGMHM	drug			drug or medication use
DKNWSYNQZKUICI	drug|human|animal	:9606|Homo sapiens	blood|urine|feces	|drug or medication use
DKOXVDVXOYHFHV	naturalproduct|fungal|fungal_produced			
DKPMWHFRUGMUKF	bacterial|bacterial_modified|food|human|naturalproduct	:9606|Homo sapiens	blood|cerebrospinal fluid|feces|saliva|urine	|food consumption
DKRXODJAISNRGA	naturalproduct			
DKUCXVPLIVXVFM	naturalproduct			
DKVBYQAVNNRVNN	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DKYFESWWIPJYTA	naturalproduct			
DKYWVDODHFEZIM	|drug|human	:9606|Homo sapiens	blood|saliva|urine	|pain|drug or medication use
DKZBBWMURDFHNE	food_source_plant|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct|fungal|fungal_produced	:9606|Homo sapiens	blood|urine|saliva	|food consumption
DLCJNIBLOSKIQW	|food|naturalproduct			food consumption
DLCVFIMWFKVRTM	naturalproduct			
DLDZDBDYUZLISX	naturalproduct			
DLHZVTVUHATYAU	naturalproduct			
DLIKSSGEMUFQOK	food|human|naturalproduct	:9606|Homo sapiens	blood|urine	food consumption_citrus|food consumption
DLNKOYKMWOXYQA	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DLQPRUDQTOCNPH	naturalproduct			
DLRVVLDZNNYCBX	environmental|food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|saliva|urine	
DLSUXMZHOIJLGM	naturalproduct|bacterial|bacterial_produced			
DLSXAPYFZQNLPN	naturalproduct_plant|plant|naturalproduct			
DLYVTEULDNMQAR	naturalproduct			
DLZMKPZOEYKXHQ	plant|plant_angiospermae|naturalproduct_plant			
DMASLKHVQRHNES	food|plant|naturalproduct_plant|naturalproduct		blood|milk	
DMBHHRLKUKUOEG	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DMCPFOBLJMLSNX	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DMIIGSHOFYCWKW	fungal|fungal_produced			
DMJNNHOOLUXYBV	drug|human	9606|Homo sapiens		drug or medication use
DMKFTARWVIEXGT	naturalproduct|bacterial|bacterial_produced			
DMKSVUSAATWOCU	drug			drug or medication use
DMSMPAJRVJJAGA	|food|human	9606|Homo sapiens		food consumption
DMULVCHRPCFFGV	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DMXHXBGUNHLMQO	food		saliva	
DNABNTQMDXKPON	naturalproduct			
DNDNWOWHUWNBCK	|food|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		food consumption
DNFJSIPZGYBGON	naturalproduct			
DNHODRZUCGXYKU	naturalproduct|bacterial|bacterial_produced|fungal|fungal_produced			
DNIAPMSPPWPWGF	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DNJVYWXIDISQRD	food|human|naturalproduct	:9606|Homo sapiens	urine	|food consumption
DNPSVQYQTPYSPH	naturalproduct|fungal|fungal_produced			
DNTCXDVSHGJREC	naturalproduct			
DNTGGZPQPQTDQF	drug			drug or medication use
DNTSIBUQMRRYIU	drug			drug or medication use
DNVPQKQSNYMLRS	fungal|human|naturalproduct	:9606|Homo sapiens	blood|feces	
DNXHEGUUPJUMQT	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DOBIBZDFHDCVHA	bacterial|bacterial_produced			
DOFJNFPSMUCECH	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DOGGFOAHICNYOW	naturalproduct			
DOICJCCMIBBSOO	naturalproduct|bacterial|bacterial_produced	:920|Acidithiobacillus ferrooxidans	920|Acidithiobacillus ferrooxidans:193|Azospirillum lipoferum:13373|Burkholderia mallei:not specified|Burkholderia phytofirmans:28450|Burkholderia pseudomallei:not specified|Burkholderia xenovorans:536|Chromobacterium violaceum:60890|Phaeobacter gallaeciensis:not specified|Roseobacter gallaeciencis:382|Sinorhizobium meliloti:633|Yersinia pseudotuberculosis	
DOIRQSBPFJWKBE	environmental|personalcareproduct|drug|food|human|synthetic|MS_contaminant|water_waste|naturalproduct	:9606|Homo sapiens	urine	products containing plasticizers|food consumption|drug or medication use
DOMWKUIIPQCAJU	drug|naturalproduct			drug or medication use
DOMXUEMWDBAQBQ	biocide_antimicrobial|drug|human	:9606|Homo sapiens	blood|urine	|drug or medication use
DONUVZIVKLIMJU	naturalproduct			
DOOTYTYQINUNNV	food|food_additive|human|naturalproduct	:9606|Homo sapiens	blood	|food consumption
DORFFLQTHPKFDY	naturalproduct			
DORPKYRPJIIARM	naturalproduct			
DOTFUBBQWCBCSH	bacterial|bacterial_produced			
DOUKEKLEUAGITQ	naturalproduct			
DOUMFZQKYFQNTF	food|human|plant|plant_angiospermae|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|urine	food consumption_herbs|food consumption
DOUQNGAJTIRQPP	naturalproduct			
DOUYETYNHWVLEO	drug|human	9606|Homo sapiens		drug or medication use
DOVSRUBRIYLZCI	naturalproduct|fungal|fungal_produced			
DOYKMKZYLAAOGH	naturalproduct			
DPAGRPSAFDXQDN	naturalproduct			
DPBMWJXWUINLQT	naturalproduct			
DPIAJERHFDBLPT	|human|naturalproduct	9606|Homo sapiens		
DPJZYONMQLGZJE	naturalproduct			
DPNGWXJMIILTBS	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DPNOTBLPQOITGU	drug|human|synthetic			
DPRXQVIZBLENFV	|human	9606|Homo sapiens		
DPSPPJIUMHPXMA	drug|human	9606|Homo sapiens		drug or medication use
DPUOLQHDNGRHBS	dissolvedorganicmatter_water_saline		blood|feces	
DPWPWRLQFGFJFI	drug|human	9606|Homo sapiens		drug or medication use
DQBVFTJNUYZVQL	plant|plant_angiospermae|naturalproduct_plant|naturalproduct			
DQCKKXVULJGBQN	drug|human	9606|Homo sapiens		drug or medication use
DQFBYFPFKXHELB	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DQJCHOQLCLEDLL	drug|human	9606|Homo sapiens		drug or medication use
DQKMNCLZNGAXNX	naturalproduct			
DQKXQSGTHWVTAD	drug		|skin of body	drug or medication use|pain
DQMZLTXERSFNPB	drug|human	9606|Homo sapiens		drug or medication use
DQNFLBXNPGBCOU	naturalproduct			
DQNGMIQSXNGHOA	naturalproduct			
DQNIDSLDXGTEPL	naturalproduct			
DQQCCKFZJNINST	fungal|naturalproduct|fungal_produced			
DQQDLYVHOTZLOR	naturalproduct			
DQTBTFHCLVMGBP	naturalproduct			
DQTMTQZSOJMZSF	naturalproduct			
DQUHDYWUEKWRLN	naturalproduct			
DQUUSJCGJNQFPG	naturalproduct			
DQVGVYRSVYCJRR	food			
DQWPFSLDHJDLRL	drug			drug or medication use
DQYWDDCXRXABIH	naturalproduct			
DRAVOWXCEBXPTN	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DRBBFCLWYRJSJZ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DRDCJEIZVLVWNC	naturalproduct			
DRDRYGIIYOPBBZ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DRIVXEVMDWCWLI	|human	9606|Homo sapiens		
DRLFMBDRBRZALE	food|drug|human|naturalproduct	:9606|Homo sapiens	blood|cerebrospinal fluid|saliva|urine	|food consumption|drug or medication use
DRMOIHOBUYFDKF	food|naturalproduct			
DRRWBCNQOKKKOL	|food|human|naturalproduct	9606|Homo sapiens		food consumption
DRSKVOAJKLUMCL	food|naturalproduct		blood|milk	
DRTQHJPVMGBUCF	drug|human|food|naturalproduct	9606|Homo sapiens		drug or medication use|food consumption
DRUKNYVQGHETPO	environmental|personalcareproduct			
DRYDKQOPVBDZMQ	plant|naturalproduct_plant|naturalproduct			
DSAJORLEPQBKDA	plant|naturalproduct_plant|naturalproduct			
DSCFFEYYQKSRSV	naturalproduct			
DSHIIBUGOWQFSO	naturalproduct|bacterial|bacterial_produced			
DSHVEBDLSYMWSX	naturalproduct			
DSJPUSRRLBBBAS	naturalproduct			
DSKJPMWIHSOYEA	biocide_antimicrobial|environmental			
DSLZVSRJTYRBFB	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DSMWJDJWYGMEBO	naturalproduct			
DSOITGJEUKHAJN	naturalproduct|fungal|fungal_produced			
DSOWUEHXZJUNID	naturalproduct			
DSVUOBIQVPVZST	naturalproduct			
DSXFHNSGLYXPNG	naturalproduct			
DSYDICXVMGUOGE	bacterial|bacterial_produced			
DSYOCLWRCTWQOY	bacterial|bacterial_produced|naturalproduct_bacterial|naturalproduct			
DTBNBXWJWCWCIK	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DTDKDYCVVOKSAV	naturalproduct			
DTEBAJZTWHMPEF	naturalproduct|bacterial|bacterial_produced			
DTEMWHDWCYDLNU	naturalproduct			
DTERQYGMUDWYAZ	|human|naturalproduct	9606|Homo sapiens	|saliva	
DTFQMPQJMDEWKJ	naturalproduct			
DTFXGVGIKNSCQQ	naturalproduct			
DTGLZDAWLRGWQN	drug|human	9606|Homo sapiens		drug or medication use
DTHZYTRJZMDQLM	fungal|fungal_produced			
DTNGBIGBPPPNNB	naturalproduct			
DTOSIQBPPRVQHS	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
DTOUUUZOYKYHEP	drug			drug or medication use
DTOUWTJYUCZJQD	naturalproduct			
DTPCFIHYWYONMD	research lab|MS_contaminant|water_waste|environmental			polymer exposure
DTSWLLBBGHRXQH	human|naturalproduct		feces	
