InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
PBQMALAAFQMDSP	naturalproduct_plant|human|naturalproduct	:9606|Homo sapiens	feces	
PBWIOAMUZKICDN	naturalproduct			
PBWOIPCULUXTNY	naturalproduct			
PBXNNDFKPQPJBB	naturalproduct			
PBXYLMVLLSYZLN	naturalproduct			
PCBBMDQLBUYDDZ	naturalproduct|fungal|fungal_produced			
PCDQPRRSZKQHHS	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PCGGYLLGIFFWCT	naturalproduct			
PCHWYSGBVKSPAM	naturalproduct			
PCIUEQPBYFRTEM	|human	9606|Homo sapiens		
PCKPVGOLPKLUHR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PCMFSBCRKKRDDK	naturalproduct			
PCMORTLOPMLEFB	food|drug|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|feces|saliva|urine	|food consumption|drug or medication use
PCMUPOUDXMFDRE	naturalproduct|fungal|fungal_produced			
PCNDJXKNXGMECE	naturalproduct			
PCSZTTAMZGNQNB	naturalproduct			
PCUOEOPTDCUNQQ	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PCWWIOUZYOPZHT	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PCZOHLXUXFIOCF	drug|human|naturalproduct|fungal|fungal_produced	:9606|Homo sapiens	blood|urine	|drug or medication use
PDAKXMIQFUHWQC	naturalproduct			
PDBIWYOLPQXSTF	naturalproduct			
PDCAFVYIKFVFFL	naturalproduct			
PDESZTFOYLDOBQ	naturalproduct			
PDHAOJSHSJQANO	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PDICCECAPKBDBB	|human|naturalproduct|fungal|fungal_produced	9606|Homo sapiens		
PDKGFQJSCXMICA	naturalproduct			
PDLPVRYEPINIBU	naturalproduct|fungal|fungal_produced			
PDMMFKSKQVNJMI	drug|naturalproduct		blood|urine	
PDMUULPVBYQBBK	|food|human	9606|Homo sapiens		food consumption
PDUNPLZHIQQDAD	fungal|fungal_produced			
PEBYLDKPVXXCJK	bacterial|bacterial_produced			
PECRJLBPKXQZDC	naturalproduct|fungal|fungal_produced			
PECYZEOJVXMISF	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PEDCQBHIVMGVHV	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
PEEGIHKIWQFTKW	naturalproduct			
PEERGVFNQUXNQA	naturalproduct			
PEFASEPMJYRQBW	|food|plant|plant_angiospermae|naturalproduct_plant|naturalproduct			food consumption
PEFNSGRTCBGNAN	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PENSQRMNZZWMGV	|food|human|naturalproduct	9606|Homo sapiens		food consumption
